c_e,c_I,vx,l_ex,l_im
SK,Ken,12702587,2,1
SK,Lou,5508829,2,1
SK,Mai,694920,2,1
SK,Mry,5398644,2,1
SK,Mas,5847233,2,1
SK,Mic,12262946,2,1
SK,Min,605920107,2,1
SK,MO,21066408,2,1
SK,Mon,56111972,2,1
SK,NHm,13769012,2,1
SK,NJr,7151118,2,1
SK,Nyr,25154578,2,1
SK,Nca,9130123,2,1
SK,Nda,198398966,2,1
SK,Ohi,58004465,2,1
SK,Pen,157994670,2,1
SK,Ten,27584844,2,1
SK,Tex,30992750,2,1
SK,Ver,1356440,2,1
SK,Vir,6225413,2,1
SK,Was,63397346,2,1
SK,Wis,137741659,2,1
AB,AB,29142635480,2,2
AB,BC,2369894692,2,2
AB,MN,755523110,2,2
AB,NB,59762831,2,2
AB,Nfld,228819557,2,2
AB,NS,98829585,2,2
AB,ON,3814046847,2,2
AB,PEI,6588639,2,2
AB,Que,1218510648,2,2
AB,SK,910859963,2,2
BC,AB,1438106110,2,2
BC,BC,28594848290,2,2
BC,MN,190837991,2,2
BC,NB,31392927,2,2
BC,Nfld,19223323,2,2
BC,NS,34415950,2,2
BC,ON,812805512,2,2
BC,PEI,6743666,2,2
BC,Que,308735872,2,2
BC,SK,214557091,2,2
MN,AB,503837100,2,2
MN,BC,255406653,2,2
MN,MN,5847455869,2,2
MN,NB,35113570,2,2
MN,Nfld,12867224,2,2
MN,NS,35501137,2,2
MN,ON,875281313,2,2
MN,PEI,4573291,2,2
MN,Que,348655273,2,2
MN,SK,342996795,2,2
NB,AB,29377579,2,2
NB,BC,229749718,2,2
NB,MN,12479657,2,2
NB,NB,3973104344,2,2
NB,Nfld,133012994,2,2
NB,NS,626153245,2,2
NB,ON,390977590,2,2
NB,PEI,116502640,2,2
NB,Que,739865403,2,2
NB,SK,11161930,2,2
Nfld,AB,930161,2,2
Nfld,BC,3410590,2,2
Nfld,MN,155027,2,2
Nfld,NB,12479657,2,2
Nfld,Nfld,2842416378,2,2
Nfld,NS,22788940,2,2
Nfld,ON,39841888,2,2
Nfld,PEI,5503451,2,2
Nfld,Que,164793488,2,2
Nfld,SK,465080,2,2
NS,AB,79141181,2,2
NS,BC,57669970,2,2
NS,MN,18913270,2,2
NS,NB,337183290,2,2
NS,Nfld,190295397,2,2
NS,NS,4840866857,2,2
NS,ON,342066634,2,2
NS,PEI,88287763,2,2
NS,Que,296256215,2,2
NS,SK,17285488,2,2
ON,AB,3868306227,2,2
ON,BC,3148439281,2,2
ON,MN,1229052470,2,2
ON,NB,892644314,2,2
ON,Nfld,570886191,2,2
ON,NS,1226882095,2,2
ON,ON,88324814010,2,2
ON,PEI,160297711,2,2
ON,Que,8796143119,2,2
ON,SK,993179194,2,2
PEI,AB,4418264,2,2
PEI,BC,2790482,2,2
PEI,MN,1395241,2,2
PEI,NB,63716015,2,2
PEI,Nfld,29300065,2,2
PEI,NS,35268597,2,2
PEI,ON,82164204,2,2
PEI,PEI,583210822,2,2
PEI,Que,56119702,2,2
PEI,SK,1472755,2,2
Que,AB,1303465334,2,2
Que,BC,1341446900,2,2
Que,MN,543834014,2,2
Que,NB,856678097,2,2
Que,Nfld,432757312,2,2
Que,NS,773351192,2,2
Que,ON,9577323164,2,2
Que,PEI,88365276,2,2
Que,Que,51074199370,2,2
Que,SK,477327517,2,2
SK,AB,1027827684,2,2
SK,BC,162778140,2,2
SK,MN,278428133,2,2
SK,NB,12789711,2,2
SK,Nfld,7363773,2,2
SK,NS,19300837,2,2
SK,ON,1124719434,2,2
SK,PEI,2712969,2,2
SK,Que,221920864,2,2
SK,SK,6233162548,2,2
